timestamp,tweet_text,username,followers_count
2020-06-03 11:00:05,"b'@adeshguptabjp @BJP4Delhi @narendramodi @JPNadda @AmitShah @blsanthosh @ShyamSJaju @BJP4India @ManojTiwariMP ko bhi dhanyavaad bol dijiye sir, after all he was the incumbent president of BJP delhi'",b'vikram_pareek',645
2020-06-03 10:59:56,b'Universities and govt playing with students life by  conducting exams in this Pandemic situation #StudentsLivesMatter  #cancelexams  #tsexamscancell @KTRTRS  #KCRPressMeet  @RaoKavitha  @narendramodi  @trsharish  @hydcitypolice   @bandisanjay_bjp    @TelanganaCMO',b'VDebbati',3
2020-06-03 10:58:53,b'@eOrganiser @mariawirth1 this is condition of indus in BJP rules states...what will happen to Hindus in states where congress and other pro Muslim-xian parties are ruling ?   wake up  @narendramodi  @ChouhanShivraj @myogiadityanath',b'DalalNation',16
2020-06-03 10:52:25,b'Has Indira Gandhi\xe2\x80\x99s Belchi moment arrived for Rahul? https://t.co/ly5li9wIKg #RahulGandhi #JanataParty #BJP #NirmalaSitharaman #NarendraModi https://t.co/XAbwuaiHOQ',b'S_A_Monitor',921
2020-06-03 10:49:34,b'@sujitsingh__ @DharnaPatelINC @narendramodi @RahulGandhi @priyankagandhi @OfficeOfKNath @digvijaya_28 @INCMohitJain @LambaAlka @drshamamohd @rohanrgupta @DrArchanaINC Imran bjp Wala h',b'SohelAnsari_',1512
2020-06-03 10:49:32,b'@abhimanyusrana @TIinExile @DrRPNishank All these BJP ministers are just enjoying our vote to @narendramodi . They are good for nothing.',b'sanghifromsouth',124
2020-06-03 10:47:37,b'@im_shenoi @redLotus1_ @ajaeys @upword_ Yet the #Bangladeshi population and their crimes on us #Hindus has only gone up. @sambitswaraj dare make any achievements on this? I am sure no #BJP Politician including @narendramodi truly case for us #Hindus but do not shy to appease #Muslim for votes',b'yZZPNetweurk',3
2020-06-03 10:46:26,"b'@sudhirchaudhary @narendramodi @realDonaldTrump 56"" PM cannot fight with China, now media like  zee news will mediate to protect bjp cowarsness.'",b'Haneef_kuthar',4
2020-06-03 10:44:20,"b""@tsrawatbjp @narendramodi Sir We know you are making sure Bjp doesn't return to power next time in the state. We have full faith and trust in you. PM is doing good job at the center, hope you follow his lead and one day you tweet your gov's achievements.""",b'nkitN_',38
2020-06-03 10:40:30,"b'@TIinExile Some time back, they constituted an IT cell to fight fake news against BJP. It hs persons who are against Hindu n against BJP. pls remove them. Otherwise, BJP will suffer in the long run. @narendramodi @HMOIndia @NagarJitendra #IFollowTrueIndology'",b'gopalgtgorur',9290
2020-06-03 10:37:49,b'@Vaibhav65049092 @GauravPandhi @calcuttavoice @narendramodi Joke of a survey...high time bjp gracefully  accepts its the beginnning of the end..',b'kanaka_100',78
2020-06-03 10:37:05,b'@narendramodi @AmitShah infection has spread&amp; aghadi govt has failed2 admit&amp; give basic treatment Union Govt should use isolation trains&amp; convert rail&amp; army hospitals2 covid hospitals&amp; give best  treatment to marathis Thus BJP will earn permanently win marathi hearts &amp; maharastra',b'bpdsaraf',9
2020-06-03 10:36:24,"b'@KTRTRS  @SabithaindraTRS @narendramodi @bandisanjay_bjp   respected officials, #cancel Ts exams promote students'",b'SaiNare42865749',1
2020-06-03 10:36:22,b'#\xe0\xa4\xb9\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xaa\xe0\xa4\x86\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xad\xe0\xa4\xb0_\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 Putting the economy back on track is the highest priority of the BJP government.  @BJP4India @AmitShah @blsanthosh @MaheishGirri @narendramodi @JPNadda',b'Karthikayan1106',159
2020-06-03 10:33:22,b'Watch this video of Yogi Adityanath doing Splits -https://t.co/d03L4tQXPk  #yogi #adityanath #bjp #power #corona #namo #narendramodi #swamyrocks #fm #nirmalasitharaman',b'elixr00',52
2020-06-03 10:31:11,b'@BSKoshyari BJP Be ready for the next election in Maharashtra \xf0\x9f\x98\xa1 \xf0\x9f\x98\xa1 \xf0\x9f\x98\xa1 @Dev_Fadnavis @narendramodi',b'ShubhamOhol3',7
2020-06-03 10:30:29,b'@SNEHALGHADGE15 @BSKoshyari @CMOMaharashtra BJP Be ready for next election in Maharashtra \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1@BSKoshyari @Dev_Fadnavis @narendramodi',b'ShubhamOhol3',7
2020-06-03 10:30:17,b'@palkisu @globaltimesnews @narendramodi are u sleeping? How can u allow Google to get away with this? How much did they donate to BJP?',b'Anshuman_j',166
